District,LAD_Name,Region_Code,Region_Name,D,F,S,T,Total
TANDRIDGE,Tandridge,E12000008,South East,9,7,5,8,29
TEIGNBRIDGE,Teignbridge,E12000009,South West,21,4,5,18,48
TENDRING,Tendring,E12000006,East of England,25,5,25,8,63
TEST VALLEY,Test Valley,E12000008,South East,13,9,10,12,44
TEWKESBURY,Tewkesbury,E12000009,South West,9,3,10,8,30
THANET,Thanet,E12000008,South East,17,11,10,24,62
THREE RIVERS,Three Rivers,E12000006,East of England,9,4,10,9,32
THURROCK,Thurrock,E12000006,East of England,5,7,16,20,48
TONBRIDGE AND MALLING,Tonbridge and Malling,E12000008,South East,10,6,22,14,52
TORBAY,Torbay,E12000009,South West,19,8,16,18,61
TORRIDGE,Torridge,E12000009,South West,14,1,5,9,29
TOWER HAMLETS,Tower Hamlets,E12000007,London,0,47,0,7,54
TRAFFORD,Trafford,E12000002,North West,5,13,29,16,63
TUNBRIDGE WELLS,Tunbridge Wells,E12000008,South East,9,5,10,7,31
UTTLESFORD,Uttlesford,E12000006,East of England,22,3,12,11,48
VALE OF WHITE HORSE,Vale of White Horse,E12000008,South East,18,11,17,11,57
WAKEFIELD,Wakefield,E12000003,Yorkshire and The Humber,21,6,34,29,90
WALSALL,Walsall,E12000005,West Midlands,13,4,22,14,53
WALTHAM FOREST,Waltham Forest,E12000007,London,0,16,6,31,53
WANDSWORTH,Wandsworth,E12000007,London,0,72,3,21,96
WARRINGTON,Warrington,E12000002,North West,16,8,27,15,66
WARWICK,Warwick,E12000005,West Midlands,8,9,17,18,52
WATFORD,Watford,E12000006,East of England,2,9,9,3,23
WAVERLEY,Waverley,E12000008,South East,18,11,17,10,56
WEALDEN,Wealden,E12000008,South East,16,7,24,12,59
WELWYN HATFIELD,Welwyn Hatfield,E12000006,East of England,9,7,9,9,34
WEST BERKSHIRE,West Berkshire,E12000008,South East,18,9,19,12,58
WEST DEVON,West Devon,E12000009,South West,8,5,4,6,23
WEST LANCASHIRE,West Lancashire,E12000002,North West,11,3,16,8,38
WEST LINDSEY,West Lindsey,E12000004,East Midlands,21,1,16,11,49
WEST NORTHAMPTONSHIRE,West Northamptonshire,E12000004,East Midlands,50,16,54,40,160
WEST OXFORDSHIRE,West Oxfordshire,E12000008,South East,11,5,14,13,43
WEST SUFFOLK,West Suffolk,E12000006,East of England,17,4,21,26,68
